feature,mean_abs_shap,mean_shap,std_shap,min_shap,max_shap
risk_velocity,2.6365051912381494,-1.9081420542278624,1.9424770282278514,-4.0208886377104545,4.08249544575592
risk_score,0.5009499426047687,-0.3690381010467958,0.6138761112647266,-2.982131699514074,0.844626620506993
device_model_encoded,0.43811179970806435,-0.18979541338203995,0.4895575251217527,-1.4387330940380108,0.6809260586029849
amount,0.3639660891531893,-0.17252599646652855,0.45507720649955063,-1.6991016463290494,1.1070054834974226
risk_profile_encoded,0.31157695651738726,-0.16561879001595234,0.2918091574006926,-0.5892995118400345,0.46328551527294076
log_amount,0.30081805410062223,-0.18144154475485846,0.3553507260252391,-1.7540832376439626,0.8719367074539585
risk_score_gap,0.2538331460434397,-0.09865524782978442,0.3637652574524028,-1.516496839862203,0.654460793375645
sin_hour,0.23701034034834523,-0.13574173035394324,0.31280810048550184,-1.518543623646602,0.6377220113722519
credit_score,0.2149434220171138,-0.07509208487051708,0.2462318221449948,-0.9659438252037814,0.5245017622921321
typing_pattern_anomaly,0.21248884629430653,-0.1690342069307585,0.2210780412508315,-0.9730799289217198,0.6825590031189803
hour,0.20204902548211318,-0.09573362652468438,0.28432204636467606,-1.1874948773300866,0.32451859368138736
payment_channel_encoded,0.19564060854924076,-0.1453660128644573,0.22202892625466952,-0.7804166321081213,0.6933755359291546
sin_day_of_week,0.1891278510449018,-0.07899980856880669,0.26784556973123647,-1.1151893128052368,0.49259368747730253
amount_to_daily_limit_ratio,0.18749871319146746,-0.1031646579964832,0.20659883879374788,-0.7552701140805871,0.539137198203885
txn_per_month,0.17760135243308728,0.11989946238961337,0.17260316453698746,-0.36633845557933115,0.46826345406281444
day_of_week,0.1674562037143414,-0.05982703329241608,0.22223884875046707,-0.7966968977388682,0.6583211223976753
cos_hour,0.15601583045315323,-0.06590464945553554,0.22005825861849812,-1.191891257212007,0.42861287542999155
amount_to_monthly_limit_ratio,0.15232192137050896,-0.09423311675684154,0.1773777410456819,-0.7316849276366403,0.32725888514583246
anomaly_score,0.1433947324085799,-0.07874978500759681,0.20677960995864736,-1.4872382751978637,0.40112819067677075
amount_risk_score,0.12876039011982574,-0.0972427674710748,0.11515340346859186,-0.5308371258793494,1.0776212679603725
cos_day_of_week,0.128116892892892,-0.04961380020735415,0.1589362418636558,-0.5665279375167349,0.4076494175425896
hesitation_indicators,0.11968410516877012,-0.10103701655433658,0.10112061727900323,-0.5431460644925191,0.31368959847333105
annual_income,0.11645060476412351,-0.06339709165169155,0.12161328828689928,-0.4427384702938432,0.3528467702445989
call_to_txn_ratio,0.0991582327091391,-0.09089150543356346,0.16710867492406856,-0.8842871110736389,0.23444824348395313
age,0.09913433489556274,-0.06476968545302622,0.12224695016575692,-0.5470966519700732,0.26991077952568654
velocity_risk_score,0.09535043011190886,-0.08694247839349974,0.0872124322080224,-0.8367576559667079,0.44440710730650673
digital_literacy_level_encoded,0.09430316381143475,-0.0269517272299549,0.1250994936820286,-0.4835895127504318,0.15833327092340205
customer_tenure_years,0.0878752629284022,-0.046475050590429855,0.10210820994379148,-0.47301411564982376,0.2733449337976156
alert_to_txn_ratio,0.08616496109934149,-0.05448237746234729,0.16529960565089433,-0.9019823442843817,0.22116713460146867
location_risk_score,0.08397086860719227,-0.07615097329925252,0.0603573242938945,-0.22170974167739954,0.7579882798171862
authentication_failures,0.06445852367926311,-0.05885528519762158,0.053120640221977,-0.38759847747298704,0.4168341336971954
is_business_hours,0.05924274819704279,-0.008115664487816867,0.06992028256013799,-0.18472977018840786,0.22084444657871338
vulnerability_score,0.03573757796696695,-0.018076935667559992,0.07051695792498743,-0.406096419273834,0.04721636888475953
is_night,0.0300127071918274,-0.018855335940077805,0.03357947463797655,-0.1931685663684934,0.15032840097947134
device_trust_gap,0.025386354165740227,-0.005606387874271077,0.06408838805145119,-0.60527936179994,0.07739025457840064
is_weekend,0.021388919654328896,-0.0026159333213224127,0.03173032870099446,-0.19065290204076646,0.13954354791403673
ip_address_country_encoded,0.016405059969973164,-0.016402890703172794,0.03338070329767886,-0.6630877277896247,0.0007079291460661533
txn_avg_alert_risk_score,0.013933834595728025,-0.011091188427619178,0.03913446078426368,-0.4267059639432422,0.27753725801249873
new_payee_flag,0.011303977032490047,-0.00954038165637957,0.04458329171425926,-0.60236851625852,0.27781672478002806
hours_since_last_call,0.008003811035482682,-0.004097457805286816,0.05854611682251863,-0.6886274895192432,0.013690265005613041
txn_call_count,0.007274578779606818,-0.0062656896150031565,0.010169203487575393,-0.08382424406031261,0.24081752932187786
known_device,0.005033804697163029,-0.0021049925772466983,0.026279322283671122,-0.3601411036114107,0.08530957516833533
hours_since_last_alert,0.004993907746838892,-0.0026261391176179375,0.02684687912191004,-0.37267846267132043,0.07445792946777023
txn_high_priority_rate,0.004897487854638974,-0.0009700999593129879,0.02112774773692556,-0.28579471093895026,0.08802661779264902
txn_avg_false_positive_prob,0.004195380816805139,-0.0016764048636725597,0.020618743946147676,-0.2685939824388089,0.06767404725187785
copy_paste_detected,0.0031450979835424375,-0.00309615438759682,0.0071171508127622065,-0.15195343200888256,0.019973928782688374
txn_escalation_rate,0.001356547712468899,-0.001046443363867132,0.0036875111172703715,-0.03062579909815461,0.083193821521406
is_round_amount,0.0,0.0,0.0,0.0,0.0
relative_amount_to_avg,0.0,0.0,0.0,0.0,0.0
